epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.408,0.51765,0.37944,1.03687,0.88695,0.87838,0.93274,0.7654,0.68217,0.49986,1.1766,0.000712096,0.000712096,0.000712096
2,315.829,0.59254,0.5291,1.10203,0.90131,0.8686,0.92952,0.76624,0.67643,0.50834,1.16811,0.000696702,0.000696702,0.000696702
3,473.602,0.60241,0.51083,1.11213,0.89882,0.8656,0.92509,0.75618,0.69423,0.50799,1.156,0.000646501,0.000646501,0.000646501
4,630.978,0.59752,0.46582,1.10228,0.89573,0.88315,0.94261,0.77478,0.66671,0.47575,1.14955,0.000568311,0.000568311,0.000568311
5,788.728,0.58213,0.43853,1.08419,0.90879,0.91104,0.95513,0.79004,0.66732,0.42756,1.13074,0.000469786,0.000469786,0.000469786
6,946.799,0.55577,0.39922,1.0748,0.93387,0.90085,0.95794,0.79818,0.64201,0.39954,1.12622,0.00036057,0.00036057,0.00036057
7,1104.66,0.53839,0.35854,1.06623,0.92385,0.9183,0.95753,0.80602,0.62794,0.37211,1.1186,0.000251354,0.000251354,0.000251354
8,1262.78,0.51047,0.33271,1.03918,0.92559,0.92829,0.96305,0.81379,0.61548,0.3626,1.10518,0.000152829,0.000152829,0.000152829
9,1420.95,0.48964,0.28875,1.02531,0.94368,0.92474,0.96787,0.82212,0.60154,0.34129,1.09729,7.46391e-05,7.46391e-05,7.46391e-05
10,1579.28,0.47479,0.26865,1.01769,0.93628,0.93379,0.96871,0.82608,0.59692,0.33407,1.09688,2.44381e-05,2.44381e-05,2.44381e-05
